 Age , Gender , Income_Level , Marital_Status , Education_Level , Occupation , Purchase_Category , Purchase_Amount , Frequency_of_Purchase , Purchase_Channel , Brand_Loyalty , Product_Rating , Time_Spent_on_Product_Research(hours) , Social_Media_Influence , Discount_Sensitivity , Return_Rate , Customer_Satisfaction , Engagement_with_Ads , Device_Used_for_Shopping , Payment_Method , Time_of_Purchase , Discount_Used , Customer_Loyalty_Program_Member , Purchase_Intent , Shipping_Preference , Time_to_Decision 
42.0,Female,High,Single,High School,Middle,Jewelry & Accessories,$393.45 ,12.0,In-Store,3.0,1.0,0.0,Low,Somewhat Sensitive,2.0,10.0,Medium,Desktop,Credit Card,10/6/2024,False,False,Need-based,Express,12.0
30.0,,High,Married,Bachelor's,Middle,Health Supplements,$58.49 ,6.0,Online,2.0,,0.0,Medium,Very Sensitive,0.0,8.0,High,Tablet,Other,7/29/2024,True,True,Planned,Express,7.0
42.0,Male,Middle,Single,High School,Middle,Beauty & Personal Care,$226.48 ,,In-Store,5.0,3.0,2.0,,Not Sensitive,2.0,7.0,High,Tablet,Debit Card,10/18/2024,True,False,Need-based,Express,11.0
26.0,Female,High,Single,Master's,Middle,Health Care,$469.22 ,6.0,In-Store,1.0,1.0,1.0,High,Not Sensitive,0.0,1.0,,Tablet,Credit Card,,False,False,Wants-based,No Preference,7.0
42.0,Female,High,Divorced,High School,High,Jewelry & Accessories,$335.32 ,6.0,Mixed,3.0,,1.0,,Not Sensitive,0.0,1.0,Low,Desktop,Other,8/12/2024,True,False,Planned,No Preference,10.0
31.0,Male,High,Divorced,High School,Middle,Animal Feed,$184.74 ,5.0,In-Store,4.0,4.0,0.0,Medium,Very Sensitive,1.0,5.0,High,Tablet,Debit Card,11/27/2024,False,True,Impulsive,No Preference,10.0
37.0,Genderqueer,High,Divorced,,Middle,Travel & Leisure (Flights,$442.18 ,5.0,In-Store,4.0,3.0,1.0,,Very Sensitive,2.0,10.0,High,Smartphone,,1/25/2024,False,False,Impulsive,Express,12.0
49.0,Male,High,,High School,Middle,Health Supplements,$427.10 ,8.0,Mixed,1.0,2.0,1.0,High,Somewhat Sensitive,0.0,2.0,Medium,Desktop,PayPal,5/10/2024,False,True,Planned,No Preference,5.0
34.0,Male,,Widowed,High School,High,Home Appliances,$326.82 ,4.0,Mixed,,2.0,1.0,High,Somewhat Sensitive,2.0,5.0,Medium,Tablet,Credit Card,4/22/2024,True,False,Planned,Standard,4.0
41.0,Male,High,Widowed,High School,Middle,Hotels,,12.0,In-Store,2.0,5.0,2.0,,Very Sensitive,1.0,7.0,High,Tablet,Other,3/19/2024,True,True,Impulsive,No Preference,11.0
33.0,Male,,Single,High School,High,Health Care,$77.65 ,6.0,Online,1.0,4.0,1.0,Medium,Somewhat Sensitive,2.0,3.0,,Tablet,Cash,1/24/2024,True,True,Planned,No Preference,1.0
47.0,Female,Middle,Widowed,Master's,High,Electronics,$85.61 ,2.0,Online,4.0,2.0,1.0,High,Not Sensitive,1.0,3.0,Low,Desktop,Other,10/4/2024,True,True,Need-based,Standard,5.0
47.0,Male,High,Widowed,High School,High,Food & Beverages,$164.79 ,4.0,,3.0,2.0,0.0,,Somewhat Sensitive,2.0,5.0,High,Tablet,Credit Card,5/23/2024,True,True,Impulsive,No Preference,1.0
29.0,Female,High,Widowed,High School,High,Health Supplements,$235.46 ,10.0,In-Store,3.0,4.0,2.0,,Not Sensitive,0.0,7.0,,Desktop,Credit Card,11/13/2024,False,True,,No Preference,2.0
36.0,Female,High,Widowed,Master's,Middle,Books,$245.14 ,4.0,Online,4.0,5.0,1.0,High,Very Sensitive,1.0,4.0,Medium,Smartphone,PayPal,3/3/2024,True,False,Impulsive,Standard,3.0
43.0,Male,High,Divorced,Bachelor's,Middle,Toys & Games,$439.91 ,5.0,Online,1.0,4.0,2.0,Low,,0.0,9.0,Medium,Smartphone,Other,3/3/2024,False,False,Need-based,Express,10.0
31.0,Male,High,Widowed,High School,High,Home Appliances,$309.22 ,5.0,Mixed,3.0,5.0,2.0,Low,Not Sensitive,2.0,4.0,,Tablet,Cash,3/24/2024,False,False,Planned,Standard,10.0
27.0,Male,Middle,Widowed,Master's,Middle,Groceries,$146.59 ,10.0,Mixed,5.0,1.0,2.0,Low,Very Sensitive,0.0,2.0,,Smartphone,Cash,1/22/2024,False,True,,No Preference,3.0
,,Middle,Single,High School,Middle,Hotels,$298.73 ,4.0,Online,1.0,5.0,1.0,High,Not Sensitive,0.0,2.0,Low,Tablet,Debit Card,11/2/2024,False,True,Need-based,No Preference,4.0
,Genderqueer,High,Single,Bachelor's,High,Food & Beverages,$395.01 ,2.0,Mixed,1.0,2.0,2.0,Medium,Very Sensitive,0.0,6.0,Medium,Desktop,Credit Card,4/18/2024,True,False,Wants-based,Standard,3.0
,Male,Middle,Married,Bachelor's,High,Electronics,$371.19 ,10.0,Mixed,1.0,2.0,2.0,High,Somewhat Sensitive,1.0,8.0,Medium,Desktop,Credit Card,,False,False,Planned,,1.0
33.0,Female,Middle,Married,Master's,High,Electronics,$193.76 ,10.0,Mixed,4.0,3.0,1.0,Medium,,0.0,2.0,Low,Desktop,Debit Card,2/3/2024,False,False,Wants-based,No Preference,12.0
43.0,Male,Middle,Divorced,Master's,High,Baby Products,$424.27 ,6.0,Online,1.0,4.0,2.0,,Not Sensitive,,8.0,Low,Tablet,Cash,9/15/2024,True,,Planned,Standard,12.0
38.0,Male,High,Single,Bachelor's,High,,$496.11 ,2.0,Mixed,2.0,3.0,1.0,High,Somewhat Sensitive,2.0,8.0,High,Smartphone,PayPal,6/8/2024,True,False,Impulsive,Standard,12.0
41.0,Male,High,Widowed,Bachelor's,Middle,Baby Products,$341.91 ,3.0,Online,4.0,4.0,0.0,Low,Not Sensitive,,9.0,,Tablet,Cash,5/31/2024,False,False,Impulsive,Express,7.0
40.0,Male,High,Married,Master's,High,Gardening & Outdoors,$127.66 ,11.0,Online,1.0,2.0,2.0,Low,Not Sensitive,2.0,7.0,,Smartphone,Credit Card,2/23/2024,False,True,Planned,Standard,7.0
47.0,Genderfluid,Middle,Single,Bachelor's,Middle,Software & Apps,$227.47 ,2.0,,2.0,2.0,2.0,Low,Very Sensitive,,4.0,High,Tablet,Other,,True,False,Need-based,Express,9.0
35.0,Male,High,Widowed,Bachelor's,High,Health Supplements,$342.99 ,3.0,In-Store,4.0,2.0,2.0,Low,Very Sensitive,0.0,6.0,Medium,Smartphone,Other,11/22/2024,,True,Impulsive,Express,6.0
49.0,Non-binary,High,Married,Master's,Middle,Packages),$306.48 ,5.0,Mixed,1.0,3.0,0.0,,Very Sensitive,0.0,9.0,Low,Tablet,Credit Card,9/15/2024,False,True,Need-based,Standard,14.0
22.0,,Middle,Divorced,Master's,High,Home Appliances,$308.54 ,3.0,Mixed,1.0,3.0,0.0,High,Not Sensitive,,5.0,High,Desktop,Credit Card,9/29/2024,False,True,Wants-based,Standard,7.0
49.0,Male,High,Single,Master's,Middle,Travel & Leisure (Flights,$124.17 ,12.0,Mixed,5.0,2.0,2.0,High,Very Sensitive,2.0,4.0,High,Smartphone,Debit Card,11/16/2024,True,True,Planned,Standard,6.0
27.0,Female,Middle,Married,Master's,Middle,Travel & Leisure (Flights,$78.00 ,5.0,Online,1.0,5.0,0.0,,Not Sensitive,1.0,1.0,,Desktop,Debit Card,11/9/2024,True,False,Wants-based,No Preference,11.0
27.0,Female,High,Married,Bachelor's,,Health Care,,4.0,Mixed,4.0,4.0,0.0,High,Somewhat Sensitive,1.0,3.0,Medium,Smartphone,Cash,9/3/2024,True,True,Planned,Standard,7.0
37.0,Female,High,Single,Master's,Middle,Hotels,$102.09 ,3.0,Mixed,1.0,4.0,0.0,,Very Sensitive,1.0,9.0,Medium,Tablet,PayPal,3/13/2024,False,True,Need-based,Express,1.0
32.0,Male,Middle,Married,Bachelor's,High,Health Care,$426.21 ,3.0,Mixed,1.0,4.0,2.0,High,,2.0,5.0,High,Smartphone,Other,4/18/2024,False,True,Wants-based,Standard,
42.0,Male,,Widowed,Master's,High,Arts & Crafts,$140.31 ,2.0,Online,2.0,4.0,1.0,Low,Very Sensitive,2.0,5.0,,Desktop,Cash,5/21/2024,True,,Impulsive,Express,8.0
18.0,Female,,Widowed,Master's,Middle,Software & Apps,$413.70 ,8.0,Mixed,3.0,,0.3,Low,Very Sensitive,0.0,,High,Desktop,Other,6/17/2024,False,True,Need-based,No Preference,6.0
49.0,Male,High,Widowed,Master's,Middle,Arts & Crafts,$348.63 ,4.0,,5.0,2.0,0.0,High,Somewhat Sensitive,0.0,7.0,,Smartphone,Debit Card,4/1/2024,False,False,Planned,No Preference,6.0
23.0,Female,Middle,Widowed,,Middle,Animal Feed,$91.27 ,7.0,In-Store,5.0,1.0,0.0,High,Not Sensitive,2.0,6.0,,Tablet,Cash,6/21/2024,True,True,Planned,Express,13.0
29.0,Female,High,Divorced,Bachelor's,High,Luxury Goods,$359.94 ,11.0,Mixed,2.0,5.0,2.0,,Very Sensitive,1.0,8.0,Low,Smartphone,Cash,12/19/2024,False,True,Wants-based,Express,9.0
25.0,Male,Middle,Divorced,High School,Middle,Gardening & Outdoors,$138.20 ,8.0,In-Store,1.0,2.0,2.0,High,Not Sensitive,0.0,6.0,Low,Desktop,Debit Card,3/2/2024,False,True,Need-based,No Preference,12.0
,Agender,High,Divorced,High School,High,,$196.33 ,11.0,Online,4.0,3.0,1.0,Medium,Not Sensitive,0.0,5.0,,Desktop,Debit Card,6/29/2024,True,True,Planned,Standard,11.0
32.0,Female,Middle,Widowed,Bachelor's,Middle,Packages),$249.24 ,8.0,In-Store,4.0,3.0,1.0,Medium,Somewhat Sensitive,2.0,3.0,,Smartphone,Cash,8/29/2024,False,True,Need-based,Standard,7.0
,Male,High,Divorced,High School,High,Furniture,$129.10 ,12.0,,5.0,3.0,2.0,Low,Not Sensitive,0.0,8.0,High,Desktop,Credit Card,4/15/2024,True,False,Planned,No Preference,7.0
45.0,Female,High,Married,Master's,High,Baby Products,$112.69 ,10.0,In-Store,1.0,4.0,0.0,High,Not Sensitive,0.0,7.0,Medium,Smartphone,Debit Card,8/27/2024,False,True,Need-based,Standard,1.0
46.0,,Middle,,Bachelor's,High,Beauty & Personal Care,$267.85 ,,Online,5.0,2.0,2.0,Medium,Somewhat Sensitive,1.0,5.0,High,Smartphone,Credit Card,3/20/2024,False,True,Need-based,Standard,7.0
24.0,Male,Middle,,High School,Middle,Home Appliances,$205.36 ,12.0,Online,1.0,5.0,2.0,High,Very Sensitive,0.0,1.0,Low,Tablet,Credit Card,4/27/2024,False,False,Impulsive,Express,5.0
48.0,,High,Divorced,Master's,High,Health Supplements,$79.10 ,10.0,In-Store,5.0,3.0,1.0,,Not Sensitive,0.0,9.0,Medium,Tablet,Debit Card,5/5/2024,True,False,Need-based,Express,4.0
35.0,Male,High,Widowed,High School,Middle,Health Care,$256.63 ,12.0,In-Store,1.0,,,High,Somewhat Sensitive,2.0,2.0,,Smartphone,Debit Card,6/16/2024,True,True,Impulsive,Standard,10.0
50.0,Female,High,Divorced,High School,Middle,Books,$409.98 ,12.0,Mixed,5.0,4.0,0.0,,Not Sensitive,2.0,1.0,Medium,Desktop,PayPal,10/15/2024,True,False,Wants-based,Express,8.0
34.0,Male,Middle,Widowed,High School,High,Sports & Outdoors,$291.60 ,2.0,In-Store,3.0,3.0,2.0,High,Somewhat Sensitive,0.0,7.0,,Desktop,Cash,8/1/2024,False,True,Need-based,Standard,3.0
50.0,Female,Middle,Single,Bachelor's,Middle,,$101.70 ,7.0,Online,3.0,4.0,2.0,Medium,Not Sensitive,2.0,2.0,,Tablet,Debit Card,6/25/2024,False,True,Wants-based,Standard,
50.0,Female,Middle,,High School,Middle,Health Care,$369.73 ,2.0,Online,,2.0,2.0,,Not Sensitive,0.0,3.0,,Tablet,Debit Card,2/4/2024,True,True,Wants-based,No Preference,12.0
46.0,Male,Middle,Single,Bachelor's,High,Baby Products,$71.00 ,12.0,Online,1.0,5.0,2.0,High,Not Sensitive,2.0,9.0,Low,Smartphone,Cash,6/26/2024,False,,Wants-based,No Preference,13.0
47.0,Male,Middle,Single,Master's,Middle,Packages),$280.05 ,10.0,In-Store,4.0,1.0,2.0,Medium,Very Sensitive,1.0,2.0,High,Smartphone,Credit Card,7/6/2024,True,False,Wants-based,No Preference,11.0
35.0,Male,High,Widowed,Master's,,Jewelry & Accessories,$54.71 ,4.0,Mixed,5.0,2.0,1.0,Low,Very Sensitive,1.0,3.0,,Desktop,PayPal,10/26/2024,True,True,Need-based,Express,3.0
27.0,Male,High,Widowed,Bachelor's,Middle,Packages),$119.51 ,11.0,Mixed,5.0,5.0,2.0,Low,Very Sensitive,2.0,8.0,Low,Desktop,PayPal,5/7/2024,False,False,Planned,No Preference,1.0
37.0,Female,High,Single,Master's,High,,$57.50 ,12.0,Online,5.0,1.0,1.0,,Not Sensitive,0.0,3.0,,Desktop,Cash,,True,,,No Preference,13.0
38.0,Female,High,Married,Bachelor's,High,Books,$225.05 ,5.0,Mixed,2.0,1.0,1.0,High,Somewhat Sensitive,1.0,1.0,Low,Desktop,Credit Card,6/27/2024,False,,Need-based,No Preference,10.0
41.0,Female,High,Divorced,High School,High,Food & Beverages,$441.15 ,7.0,Online,3.0,1.0,1.0,Low,Somewhat Sensitive,1.0,1.0,,Smartphone,Debit Card,8/31/2024,False,False,Need-based,No Preference,8.0
48.0,Male,Middle,Divorced,High School,Middle,Animal Feed,$481.21 ,3.0,Mixed,1.0,2.0,1.0,High,Not Sensitive,0.0,1.0,,Desktop,Credit Card,11/13/2024,False,False,Wants-based,No Preference,11.0
48.0,Female,High,Married,Bachelor's,Middle,Arts & Crafts,$102.96 ,3.0,Mixed,1.0,1.0,1.0,Low,Very Sensitive,0.0,7.0,Low,Desktop,PayPal,12/19/2024,False,True,Wants-based,Standard,4.0
45.0,Female,High,Divorced,Bachelor's,High,Electronics,$331.57 ,11.0,Mixed,3.0,1.0,0.0,Low,Somewhat Sensitive,1.0,6.0,Medium,Desktop,Debit Card,5/6/2024,False,False,Impulsive,Express,
26.0,Non-binary,Middle,Widowed,High School,Middle,Electronics,$101.29 ,11.0,In-Store,1.0,1.0,,Medium,Not Sensitive,2.0,7.0,Medium,Smartphone,Cash,10/30/2024,False,True,Need-based,No Preference,4.0
50.0,Female,Middle,Single,Master's,High,Packages),$143.52 ,9.0,In-Store,2.0,5.0,1.0,Medium,Somewhat Sensitive,2.0,3.0,,Tablet,Credit Card,4/11/2024,True,False,Impulsive,Express,12.0
39.0,Male,Middle,Widowed,Bachelor's,Middle,Sports & Outdoors,$276.48 ,3.0,Mixed,1.0,2.0,1.0,,Somewhat Sensitive,0.0,4.0,Low,Desktop,Cash,5/5/2024,False,False,Need-based,Express,7.0
20.0,Male,High,Widowed,High School,,Toys & Games,$352.87 ,11.0,In-Store,5.0,3.0,0.0,High,Not Sensitive,0.0,,High,Tablet,PayPal,2/19/2024,False,False,Wants-based,Standard,12.0
48.0,Male,Middle,Married,Master's,Middle,Mobile Accessories,$228.68 ,3.0,Mixed,2.0,1.0,2.0,Low,Very Sensitive,1.0,4.0,,Tablet,Debit Card,10/9/2024,True,False,Planned,,4.0
31.0,Female,Middle,Divorced,Master's,High,Food & Beverages,$301.39 ,6.0,Online,2.0,1.0,0.0,,Very Sensitive,1.0,4.0,Low,Desktop,Debit Card,4/21/2024,False,False,Need-based,No Preference,11.0
25.0,Female,Middle,Married,,High,Books,$473.50 ,11.0,Mixed,2.0,4.0,1.0,Low,,2.0,3.0,High,Tablet,Other,7/24/2024,,True,Impulsive,Express,10.0
18.0,Agender,,Single,Bachelor's,High,Home Appliances,$72.80 ,11.0,In-Store,2.0,4.0,1.0,High,Somewhat Sensitive,2.0,10.0,High,Desktop,PayPal,8/20/2024,True,False,Need-based,,3.0
18.0,Male,Middle,Divorced,Bachelor's,High,Packages),$171.72 ,3.0,Online,5.0,3.0,1.0,Low,Very Sensitive,1.0,2.0,,Desktop,,3/24/2024,False,True,Impulsive,Standard,
31.0,Male,Middle,Widowed,High School,Middle,Software & Apps,$467.50 ,6.0,In-Store,2.0,1.0,0.0,,Somewhat Sensitive,1.0,1.0,High,Desktop,PayPal,4/4/2024,False,False,Planned,No Preference,6.0
43.0,Genderqueer,High,Married,,High,Furniture,$209.79 ,6.0,Mixed,5.0,1.0,2.0,High,Not Sensitive,1.0,9.0,Low,Tablet,Other,9/13/2024,,True,Need-based,Standard,10.0
23.0,Male,,Single,High School,Middle,Office Supplies,$150.33 ,9.0,In-Store,4.0,4.0,2.0,,Somewhat Sensitive,2.0,9.0,Medium,Desktop,Debit Card,4/24/2024,True,False,Wants-based,Express,6.0
29.0,Male,High,Married,Bachelor's,High,Luxury Goods,$98.63 ,7.0,Online,4.0,5.0,2.0,High,Somewhat Sensitive,1.0,3.0,Low,Tablet,Other,1/9/2024,False,True,Planned,,6.0
,Female,Middle,Divorced,Master's,,Beauty & Personal Care,,11.0,Mixed,4.0,2.0,2.0,,Very Sensitive,2.0,1.0,Medium,Tablet,Other,6/3/2024,,True,Planned,No Preference,12.0
49.0,Female,Middle,Single,High School,Middle,Luxury Goods,$145.02 ,7.0,In-Store,3.0,2.0,0.0,High,Very Sensitive,1.0,1.0,Medium,Desktop,Credit Card,6/23/2024,True,True,Wants-based,Express,9.0
30.0,Female,Middle,Divorced,,Middle,Health Supplements,$294.99 ,4.0,Online,3.0,5.0,2.0,Low,Somewhat Sensitive,1.0,4.0,High,Desktop,PayPal,11/30/2024,False,False,,Standard,5.0
31.0,Polygender,Middle,Divorced,,Middle,Office Supplies,$305.45 ,2.0,Mixed,5.0,5.0,1.0,,Very Sensitive,1.0,1.0,High,Smartphone,PayPal,10/24/2024,False,True,Impulsive,Express,9.0
50.0,Female,Middle,Widowed,High School,Middle,Toys & Games,$432.42 ,2.0,In-Store,,4.0,0.0,Medium,Not Sensitive,0.0,8.0,,Tablet,PayPal,4/21/2024,False,True,Need-based,Express,13.0
35.0,Female,Middle,Single,Bachelor's,High,Gardening & Outdoors,$227.58 ,11.0,Mixed,3.0,1.0,1.0,,Not Sensitive,1.0,,High,Smartphone,Credit Card,1/23/2024,False,True,Need-based,Express,6.0
36.0,Male,Middle,Single,High School,High,Toys & Games,$160.89 ,10.0,Online,5.0,5.0,2.0,,,2.0,6.0,Medium,Desktop,PayPal,6/23/2024,True,True,Planned,No Preference,13.0
24.0,Female,Middle,,Master's,High,Luxury Goods,,7.0,Online,2.0,5.0,0.0,Low,Somewhat Sensitive,2.0,3.0,Medium,Desktop,PayPal,3/20/2024,False,False,Impulsive,No Preference,8.0
36.0,Genderfluid,High,Married,Master's,Middle,Furniture,$268.28 ,9.0,Mixed,5.0,2.0,2.0,,Very Sensitive,2.0,2.0,High,Smartphone,Credit Card,4/9/2024,False,True,Need-based,Standard,8.0
45.0,,Middle,Single,Master's,High,Sports & Outdoors,$64.49 ,6.0,Online,2.0,1.0,0.0,,Very Sensitive,1.0,10.0,,Tablet,Other,10/19/2024,False,False,Planned,Express,7.0
44.0,Male,Middle,Widowed,High School,Middle,Arts & Crafts,$80.17 ,10.0,Online,1.0,1.0,1.0,High,Not Sensitive,1.0,8.0,,Tablet,Credit Card,5/10/2024,True,True,Planned,No Preference,6.0
28.0,Male,High,Married,Master's,High,Groceries,$277.52 ,11.0,In-Store,4.0,1.0,0.0,,Not Sensitive,1.0,7.0,Medium,Smartphone,PayPal,5/14/2024,True,False,Need-based,Standard,11.0
40.0,Male,High,Widowed,Master's,Middle,Health Supplements,$53.67 ,7.0,Online,3.0,5.0,1.0,High,Not Sensitive,0.0,2.0,High,Desktop,PayPal,4/13/2024,False,False,Planned,Express,11.0
49.0,Female,Middle,Widowed,Bachelor's,High,Office Supplies,$323.39 ,10.0,In-Store,2.0,3.0,2.0,,,0.0,7.0,High,Tablet,Cash,1/4/2024,True,True,Need-based,No Preference,11.0
50.0,Female,High,Single,Bachelor's,High,Sports & Outdoors,$98.02 ,5.0,In-Store,,3.0,1.0,Low,Not Sensitive,0.0,3.0,High,Desktop,Debit Card,6/30/2024,True,False,Planned,No Preference,10.0
24.0,Male,,Divorced,Bachelor's,High,Travel & Leisure (Flights,$231.26 ,10.0,In-Store,5.0,1.0,2.0,Low,Very Sensitive,2.0,5.0,Low,,,4/30/2024,False,True,Impulsive,No Preference,10.0
26.0,Male,High,Single,Master's,Middle,Food & Beverages,$382.49 ,6.0,In-Store,,2.0,,,Very Sensitive,2.0,3.0,,Tablet,Debit Card,2/1/2024,True,False,Impulsive,No Preference,1.0
28.0,Male,Middle,Divorced,Master's,High,Travel & Leisure (Flights,$255.42 ,,Mixed,,5.0,,,Somewhat Sensitive,1.0,9.0,,Tablet,PayPal,7/1/2024,True,,Impulsive,Standard,11.0
48.0,Female,Middle,Single,High School,High,Toys & Games,$423.23 ,12.0,In-Store,3.0,3.0,2.0,High,Somewhat Sensitive,0.0,7.0,Low,Tablet,Debit Card,11/5/2024,False,False,Planned,Standard,6.0
47.0,Male,Middle,Single,,High,Beauty & Personal Care,$276.08 ,4.0,Mixed,4.0,5.0,0.3,High,Somewhat Sensitive,2.0,10.0,Low,Smartphone,Credit Card,1/29/2024,,True,Need-based,No Preference,10.0
25.0,Male,Middle,Widowed,Bachelor's,Middle,Books,$333.56 ,3.0,Mixed,4.0,5.0,1.0,Low,Not Sensitive,2.0,2.0,High,Smartphone,Other,10/25/2024,True,True,Impulsive,No Preference,14.0
39.0,Male,High,Divorced,,Middle,Groceries,$129.82 ,12.0,Mixed,1.0,2.0,0.0,High,Not Sensitive,2.0,1.0,High,Tablet,Cash,6/3/2024,False,False,Impulsive,Standard,8.0
41.0,Female,High,Widowed,High School,High,Clothing,$278.78 ,,,5.0,2.0,0.0,Medium,Not Sensitive,0.0,1.0,Low,Desktop,,6/14/2024,True,False,Wants-based,Standard,
37.0,,Middle,Married,Bachelor's,High,Gardening & Outdoors,$112.55 ,5.0,In-Store,1.0,4.0,,,,2.0,1.0,Low,Desktop,Credit Card,10/22/2024,True,False,Planned,Standard,2.0
,Female,Middle,Divorced,Bachelor's,High,Toys & Games,$142.02 ,7.0,In-Store,1.0,5.0,0.0,Low,Very Sensitive,1.0,9.0,Medium,,Cash,7/9/2024,True,False,Impulsive,Standard,3.0
33.0,Female,High,Widowed,High School,High,Packages),$481.84 ,10.0,In-Store,1.0,4.0,2.0,High,Somewhat Sensitive,1.0,1.0,Medium,Tablet,Cash,,False,False,Wants-based,,9.0
50.0,Agender,High,Divorced,Master's,Middle,Packages),$165.01 ,10.0,Mixed,1.0,2.0,1.0,Medium,Somewhat Sensitive,1.0,5.0,Medium,Desktop,PayPal,4/17/2024,True,False,Impulsive,No Preference,10.0
25.0,Male,Middle,Divorced,High School,Middle,Baby Products,$56.85 ,5.0,Online,2.0,1.0,,,,0.0,1.0,High,Smartphone,Cash,11/16/2024,True,False,Wants-based,Standard,14.0
34.0,Agender,High,,Bachelor's,High,Hotels,$182.89 ,2.0,Mixed,5.0,3.0,1.0,,Not Sensitive,1.0,9.0,Low,Smartphone,PayPal,,False,False,Wants-based,Express,5.0
39.0,Male,High,Widowed,High School,High,Books,$373.01 ,5.0,In-Store,5.0,5.0,,Low,Somewhat Sensitive,1.0,4.0,Medium,Smartphone,PayPal,7/27/2024,False,True,Impulsive,Express,8.0
,Male,Middle,Single,Master's,Middle,Home Appliances,$220.77 ,7.0,Online,4.0,2.0,2.0,Low,Not Sensitive,2.0,1.0,,Smartphone,Debit Card,4/15/2024,True,True,Need-based,,11.0
27.0,Male,Middle,Married,Master's,High,Hotels,$291.09 ,11.0,Online,2.0,2.0,2.0,,Somewhat Sensitive,0.0,9.0,High,Smartphone,PayPal,10/6/2024,True,False,Need-based,No Preference,1.0
23.0,Agender,High,Married,Bachelor's,Middle,Software & Apps,$414.06 ,9.0,Mixed,1.0,,,Medium,Somewhat Sensitive,2.0,,High,Desktop,,11/26/2024,True,False,Planned,Express,2.0
37.0,Male,Middle,Widowed,Bachelor's,Middle,Animal Feed,$408.51 ,9.0,Online,2.0,,2.0,High,Very Sensitive,0.0,7.0,Medium,Smartphone,Credit Card,5/26/2024,True,False,Wants-based,Express,1.0
21.0,Male,Middle,Married,High School,High,Furniture,$103.40 ,9.0,In-Store,4.0,1.0,2.0,High,Not Sensitive,1.0,9.0,Medium,Smartphone,Debit Card,11/4/2024,True,False,Planned,Standard,9.0
47.0,Male,Middle,Single,High School,High,Furniture,$67.92 ,3.0,In-Store,1.0,3.0,0.0,Low,Not Sensitive,1.0,8.0,Low,Tablet,Cash,10/18/2024,False,True,Impulsive,Express,10.0
42.0,Agender,Middle,Single,High School,Middle,Health Supplements,$354.16 ,8.0,In-Store,1.0,1.0,1.0,Low,Not Sensitive,2.0,3.0,Low,Desktop,Credit Card,6/13/2024,True,False,Planned,Express,5.0
30.0,Male,Middle,Widowed,Bachelor's,Middle,Books,$276.77 ,2.0,Mixed,1.0,1.0,2.0,Low,Very Sensitive,1.0,2.0,High,Smartphone,Cash,3/3/2024,True,True,Wants-based,No Preference,4.0
49.0,Male,Middle,Single,,Middle,Health Care,$190.25 ,6.0,Mixed,4.0,2.0,2.0,,Very Sensitive,2.0,9.0,,Tablet,PayPal,6/3/2024,False,False,Planned,Express,13.0
28.0,Female,Middle,Married,Master's,Middle,Animal Feed,$203.49 ,7.0,In-Store,4.0,1.0,2.0,Medium,Not Sensitive,1.0,8.0,High,Tablet,Cash,8/10/2024,False,True,Need-based,Express,11.0
24.0,Male,Middle,Single,High School,High,Health Supplements,$263.50 ,6.0,Mixed,3.0,2.0,2.0,,Not Sensitive,0.0,8.0,Low,Tablet,,11/18/2024,False,False,Planned,Standard,1.0
40.0,Female,High,,Bachelor's,Middle,Arts & Crafts,$247.30 ,2.0,In-Store,4.0,4.0,2.0,Low,Very Sensitive,0.0,1.0,Medium,Desktop,Credit Card,2/8/2024,True,True,,No Preference,
18.0,Male,High,Married,Bachelor's,Middle,Toys & Games,,12.0,Online,4.0,3.0,0.3,,Not Sensitive,0.0,9.0,Medium,Smartphone,Debit Card,3/17/2024,True,True,Wants-based,No Preference,
42.0,Male,High,Married,High School,Middle,Office Supplies,$131.85 ,4.0,Mixed,,4.0,2.0,Low,Somewhat Sensitive,1.0,5.0,Medium,Smartphone,Debit Card,1/4/2024,True,False,Need-based,,6.0
19.0,Male,High,Married,Master's,High,Beauty & Personal Care,$459.39 ,6.0,Mixed,2.0,2.0,0.3,Low,Very Sensitive,2.0,4.0,High,Tablet,Credit Card,9/29/2024,False,False,Planned,No Preference,14.0
36.0,Female,High,Divorced,High School,Middle,Office Supplies,$383.33 ,6.0,Online,3.0,,2.0,Medium,Very Sensitive,1.0,3.0,,Smartphone,Credit Card,8/5/2024,False,False,Planned,Standard,12.0
26.0,Female,High,Widowed,Bachelor's,High,Toys & Games,$212.08 ,8.0,In-Store,5.0,5.0,2.0,Low,Very Sensitive,1.0,9.0,,Tablet,Credit Card,5/7/2024,False,False,Need-based,Standard,13.0
35.0,Female,High,Married,Master's,High,Arts & Crafts,$370.73 ,7.0,Online,3.0,2.0,1.0,High,Not Sensitive,0.0,9.0,High,Smartphone,Debit Card,8/18/2024,False,True,Need-based,No Preference,7.0
39.0,Male,High,Divorced,Master's,Middle,Clothing,$319.66 ,7.0,Mixed,4.0,2.0,1.0,High,Not Sensitive,1.0,10.0,,Desktop,Debit Card,2/18/2024,False,False,Wants-based,Express,3.0
44.0,,Middle,Widowed,Bachelor's,High,Jewelry & Accessories,$373.05 ,3.0,In-Store,3.0,4.0,0.3,Low,Not Sensitive,1.0,10.0,Medium,Tablet,Cash,3/14/2024,False,True,Planned,Standard,7.0
